,TransactionID,CustomerID,CustomerDOB,CustGender,CustLocation,CustAccountBalance,TransactionDate,TransactionTime,TransactionAmount (INR)
0,T20002,C3511547,1998-04-18,F,DELHI,7267.76,2016-09-23,193515,100.0
1,T20003,C1340791,1987-09-29,F,KOTTAYAM,4971.1,2016-09-23,193518,251.0
2,T20004,C4726327,1991-10-15,F,TONK,4.36,2016-09-23,193520,200.0
3,T20005,C3612791,1972-04-17,F,MUMBAI,83461.73,2016-09-23,192618,975.04
4,T20006,C3935459,1986-12-11,F,NOIDA,4184.27,2016-09-23,194556,58.0
5,T20007,C2521532,1987-09-14,F,GURGAON,15249.25,2016-09-23,123312,404.44
6,T20008,C7327660,1994-07-25,F,GURGAON,6736.75,2016-09-23,121918,99.0
7,T20009,C8418271,1997-03-28,F,CHANDIGARH,20207.88,2016-09-23,130156,1086.0
8,T20010,C7021956,1992-04-17,F,NAVI MUMBAI,2808.51,2016-09-23,193139,168.0
9,T20011,C7220650,1985-09-26,F,BANGALORE,0.0,2016-09-23,194727,3090.82
10,T20012,C8815752,1968-09-08,M,MUMBAI,194264.43,2016-09-23,193847,1517.65
11,T20013,C8963037,1990-02-14,F,GHAZIABAD,252903.8,2016-09-23,194016,1571.0
12,T20014,C2519525,1986-09-23,M,AHMED NAGAR,88310.5,2016-09-23,201932,74.72
13,T20015,C2910390,1960-11-08,F,IMPHAL,3299.01,2016-09-23,201937,347.0
14,T20016,C7117132,1976-01-12,M,LUDHIANA,6882.54,2016-09-23,202025,404.5
18,T20020,C8333512,1975-05-25,M,BANGALORE,24831.73,2016-09-23,130727,5273.0
19,T20021,C1584766,1990-06-03,M,MUMBAI,27386.89,2016-09-23,124800,130.0
20,T20022,C2917112,1992-03-23,M,PUNE,39770.5,2016-09-23,193150,1293.0
21,T20023,C2914913,1991-03-20,M,NEYVELI TOWNSHIP,1817.33,2016-09-23,193357,2049.0
22,T20024,C7810374,1987-02-27,M,DELHI,18.7,2016-09-23,193558,317.65
23,T20025,C2119626,1977-08-04,M,NEW DELHI,26040.46,2016-09-23,200439,384.05
24,T20026,C7137811,1990-05-07,M,BANGALORE,12883.11,2016-09-23,194332,699.0
25,T20027,C1332538,1996-09-28,M,HOSUR,731.43,2016-09-23,195002,40.0
26,T20028,C2141013,1995-07-31,M,BANGALORE,94.08,2016-09-23,195102,20.0
27,T20029,C8439577,1987-05-01,M,GURGAON,49936.98,2016-09-23,101054,38.09
28,T20030,C1818828,1959-02-17,M,DELHI,126638.64,2016-09-23,192816,1260.0
29,T20031,C2789464,1987-09-19,F,THANE,22869.72,2016-09-23,201805,250.0
30,T20032,C3020033,1990-06-10,F,UDHAMPUR,578.47,2016-09-23,124050,570.0
31,T20033,C4961290,1989-04-09,M,DELHI,4.58,2016-09-23,121236,200.0
33,T20035,C5324724,1988-12-13,M,NEW DELHI,3664.77,2016-09-23,155720,2.23
34,T20036,C1710483,1987-09-19,M,GURGAON,0.52,2016-09-23,193746,500.0
36,T20038,C8132925,1974-01-01,F,DELHI,2614.07,2016-09-23,202238,320.0
37,T20039,C4910692,1985-05-27,M,PUNE,57182.64,2016-09-23,202239,425.0
38,T20040,C1524585,1991-09-21,F,CHANDIGARH,264586.65,2016-09-23,200513,1000.0
39,T20041,C8828457,1992-08-20,M,DELHI,26483.08,2016-09-23,193939,405.0
40,T20042,C4623863,1991-03-24,M,VISHAKHAPATNAM,7714.08,2016-09-23,194012,300.0
41,T20043,C1751184,1976-08-05,M,PUNE,9635.67,2016-09-23,193942,6000.0
42,T20044,C4223536,1987-12-03,M,DHARAMSHALA,11.27,2016-09-23,193042,295.0
43,T20045,C3953782,1992-06-16,F,ALLAHABAD,26454.19,2016-09-23,201829,133.0
44,T20046,C6856034,1991-05-23,M,TRICHY,119940.27,2016-09-23,200318,260.0
45,T20047,C3216011,1992-02-10,M,NOIDA,42.48,2016-09-23,200756,100.0
46,T20048,C6034691,1992-02-01,M,BANGALORE,32627.11,2016-09-23,124841,3485.0
48,T20050,C2123911,1965-01-04,F,GHAZIABAD,54462.75,2016-09-23,194005,696.0
49,T20051,C7212983,1997-09-23,F,AMBALA,33441.89,2016-09-23,193408,100.0
50,T20052,C2210321,1985-03-10,M,MODINAGAR,115759.86,2016-09-23,192351,100.85
51,T20053,C1626460,1984-06-30,M,DELHI,46962.94,2016-09-23,201806,55.0
52,T20054,C5610449,1994-04-17,F,MUMBAI,28768.02,2016-09-23,202245,1499.0
53,T20055,C4437379,1985-03-07,F,MANGALORE,28297.0,2016-09-23,202323,553.0
54,T20056,C7922888,1989-08-12,M,PONDICHERRY,6229.8,2016-09-23,195015,799.0
55,T20057,C3220126,1979-11-29,F,GURGAON,43238.39,2016-09-23,195220,374.0
56,T20058,C8939119,1976-02-08,M,HYDERABAD,4168.65,2016-09-23,201530,3155.2
57,T20059,C8387764,1969-12-10,M,GURGAON,2959.33,2016-09-23,201853,380.0
59,T20061,C4522216,1983-01-14,F,GURGAON,281540.44,2016-09-23,124101,4295.0
60,T20062,C5140221,1992-09-27,F,LUDHIANA,30356.2,2016-09-23,193039,10.0
61,T20063,C2187991,1993-05-22,M,DELHI,9.04,2016-09-23,200303,20.0
