TransactionID,CustomerID,CustomerDOB,CustGender,CustLocation,CustAccountBalance,TransactionDate,TransactionTime,TransactionAmount (INR)
T20002,C3511547,18/4/98,F,DELHI,7267.76,23/9/16,193515,100.0
T20003,C1340791,29/9/87,F,KOTTAYAM,4971.1,23/9/16,193518,251.0
T20004,C4726327,15/10/91,F,TONK,4.36,23/9/16,193520,200.0
T20005,C3612791,17/4/72,F,MUMBAI,83461.73,23/9/16,192618,975.04
T20006,C3935459,12/11/86,F,NOIDA,4184.27,23/9/16,194556,58.0
T20007,C2521532,14/9/87,F,GURGAON,15249.25,23/9/16,123312,404.44
T20008,C7327660,25/7/94,F,GURGAON,6736.75,23/9/16,121918,99.0
T20009,C8418271,28/3/97,F,CHANDIGARH,20207.88,23/9/16,130156,1086.0
T20010,C7021956,17/4/92,F,NAVI MUMBAI,2808.51,23/9/16,193139,168.0
T20011,C7220650,26/9/85,F,BANGALORE,0.0,23/9/16,194727,3090.82
T20012,C8815752,9/8/68,M,MUMBAI,194264.43,23/9/16,193847,1517.65
T20013,C8963037,14/2/90,F,GHAZIABAD,252903.8,23/9/16,194016,1571.0
T20014,C2519525,23/9/86,M,AHMED NAGAR,88310.5,23/9/16,201932,74.72
T20015,C2910390,11/8/60,F,IMPHAL,3299.01,23/9/16,201937,347.0
T20016,C7117132,1/12/76,M,LUDHIANA,6882.54,23/9/16,202025,404.5
T20017,C3241112,1/1/1800,M,JAMSHEDPUR,15375.51,23/9/16,202114,550.0
T20018,C8923871,1/1/1800,,NEW DELHI,2403.56,23/9/16,123640,1.0
T20019,C4927415,1/1/1800,F,MUMBAI,96827.54,23/9/16,123642,3624.0
T20020,C8333512,25/5/75,M,BANGALORE,24831.73,23/9/16,130727,5273.0
T20021,C1584766,6/3/90,M,MUMBAI,27386.89,23/9/16,124800,130.0
T20022,C2917112,23/3/92,M,PUNE,39770.5,23/9/16,193150,1293.0
T20023,C2914913,20/3/91,M,NEYVELI TOWNSHIP,1817.33,23/9/16,193357,2049.0
T20024,C7810374,27/2/87,M,DELHI,18.7,23/9/16,193558,317.65
T20025,C2119626,8/4/77,M,NEW DELHI,26040.46,23/9/16,200439,384.05
T20026,C7137811,5/7/90,M,BANGALORE,12883.11,23/9/16,194332,699.0
T20027,C1332538,28/9/96,M,HOSUR,731.43,23/9/16,195002,40.0
T20028,C2141013,31/7/95,M,BANGALORE,94.08,23/9/16,195102,20.0
T20029,C8439577,5/1/87,M,GURGAON,49936.98,23/9/16,101054,38.09
T20030,C1818828,17/2/59,M,DELHI,126638.64,23/9/16,192816,1260.0
T20031,C2789464,19/9/87,F,THANE,22869.72,23/9/16,201805,250.0
T20032,C3020033,6/10/90,F,UDHAMPUR,578.47,23/9/16,124050,570.0
T20033,C4961290,4/9/89,M,DELHI,4.58,23/9/16,121236,200.0
T20034,C2217149,1/1/1800,F,BHIWADI,49060.08,23/9/16,121728,2772.96
T20035,C5324724,13/12/88,M,NEW DELHI,3664.77,23/9/16,155720,2.23
T20036,C1710483,19/9/87,M,GURGAON,0.52,23/9/16,193746,500.0
T20037,C7146075,1/1/1800,M,MUMBAI,282260.32,23/9/16,202220,2985.0
T20038,C8132925,1/1/74,F,DELHI,2614.07,23/9/16,202238,320.0
T20039,C4910692,27/5/85,M,PUNE,57182.64,23/9/16,202239,425.0
T20040,C1524585,21/9/91,F,CHANDIGARH,264586.65,23/9/16,200513,1000.0
T20041,C8828457,20/8/92,M,DELHI,26483.08,23/9/16,193939,405.0
T20042,C4623863,24/3/91,M,VISHAKHAPATNAM,7714.08,23/9/16,194012,300.0
T20043,C1751184,8/5/76,M,PUNE,9635.67,23/9/16,193942,6000.0
T20044,C4223536,12/3/87,M,DHARAMSHALA,11.27,23/9/16,193042,295.0
T20045,C3953782,16/6/92,F,ALLAHABAD,26454.19,23/9/16,201829,133.0
T20046,C6856034,23/5/91,M,TRICHY,119940.27,23/9/16,200318,260.0
T20047,C3216011,2/10/92,M,NOIDA,42.48,23/9/16,200756,100.0
T20048,C6034691,2/1/92,M,BANGALORE,32627.11,23/9/16,124841,3485.0
T20049,C8932030,1/1/1800,F,PUNE,109360.35,23/9/16,31847,200.0
T20050,C2123911,1/4/65,F,GHAZIABAD,54462.75,23/9/16,194005,696.0
T20051,C7212983,23/9/97,F,AMBALA,33441.89,23/9/16,193408,100.0
T20052,C2210321,3/10/85,M,MODINAGAR,115759.86,23/9/16,192351,100.85
T20053,C1626460,30/6/84,M,DELHI,46962.94,23/9/16,201806,55.0
T20054,C5610449,17/4/94,F,MUMBAI,28768.02,23/9/16,202245,1499.0
T20055,C4437379,3/7/85,F,MANGALORE,28297.0,23/9/16,202323,553.0
T20056,C7922888,8/12/89,M,PONDICHERRY,6229.8,23/9/16,195015,799.0
T20057,C3220126,29/11/79,F,GURGAON,43238.39,23/9/16,195220,374.0
T20058,C8939119,2/8/76,M,HYDERABAD,4168.65,23/9/16,201530,3155.2
T20059,C8387764,12/10/69,M,GURGAON,2959.33,23/9/16,201853,380.0
T20060,C5337349,1/1/1800,M,SURAT,342164.56,23/9/16,124059,3000.0
T20061,C4522216,14/1/83,F,GURGAON,281540.44,23/9/16,124101,4295.0
T20062,C5140221,27/9/92,F,LUDHIANA,30356.2,23/9/16,193039,10.0
T20063,C2187991,22/5/93,M,DELHI,9.04,23/9/16,200303,20.0
T20064,C8036447,20/1/85,M,HEADQUARTER NAVI MUMBAI,151842.68,23/9/16,202009,1000.0
T20065,C4536252,1/5/86,F,MUMBAI,52579.47,23/9/16,202100,523.0
T20066,C7127531,1/1/1800,M,NABHA,98573.77,23/9/16,194947,3859.0
T20067,C7824139,11/4/94,F,HYDERABAD,9437.77,23/9/16,165300,2.65
T20068,C8921976,21/3/87,M,KANGRA,9352.7,23/9/16,202439,123.0
T20069,C5813827,25/2/93,F,NEW DELHI,2406.59,23/9/16,200144,50.0
T20070,C6947013,16/10/88,M,FARIDABAD,6406.9,23/9/16,200440,2200.0
T20071,C5220186,1/1/80,M,NEW DELHI,6797.1,23/9/16,200858,25.0
T20072,C8110416,3/9/89,M,MORADABAD,17039.83,23/9/16,125648,515.0
T20073,C1820743,20/3/91,M,REWARI,440.35,23/9/16,200041,5950.0
T20074,C7513548,16/4/89,M,NEW DELHI,33524.18,23/9/16,200644,718.0
T20075,C2626116,29/4/79,F,BANGALORE,2461.65,23/9/16,200644,217.0
T20076,C7011490,18/11/91,F,GURGAON,17396.93,23/9/16,200649,100.0
T20077,C6535649,15/9/81,M,BANGALORE,27296.8,23/9/16,200501,500.0
T20078,C8014275,7/5/77,M,DERABASSI,2376.54,23/9/16,200216,10.0
